Level,Topic,Title,YouTube URL,Notes,Active
A1,cafe,Easy cafe ordering practice,https://www.youtube.com/results?search_query=easy+english+cafe+ordering,A1 cafe expressions,TRUE
A1,introduction,Self introduction practice,https://www.youtube.com/results?search_query=easy+english+self+introduction,A1 self introduction,TRUE
A2,shopping,Shopping conversation practice,https://www.youtube.com/results?search_query=english+shopping+conversation,A2 shopping expressions,TRUE
A2,travel,Hotel check-in conversation,https://www.youtube.com/results?search_query=english+hotel+check+in+conversation,A2 travel expressions,TRUE
B1,restaurant,Restaurant reservation and ordering,https://www.youtube.com/results?search_query=intermediate+english+restaurant+conversation,B1 restaurant conversation,TRUE
B1,airport,Airport and immigration conversation,https://www.youtube.com/results?search_query=intermediate+english+airport+immigration,B1 airport conversation,TRUE
B1,business,Business small talk practice,https://www.youtube.com/results?search_query=business+english+small+talk+intermediate,B1 business conversation,TRUE
B2,presentation,Presentation Q&A practice,https://www.youtube.com/results?search_query=business+english+presentation+Q%26A,B2 presentation practice,TRUE
B2,meeting,Meeting discussion practice,https://www.youtube.com/results?search_query=business+english+meeting+discussion,B2 meeting expressions,TRUE
C1,debate,Advanced discussion practice,https://www.youtube.com/results?search_query=advanced+english+discussion+practice,C1 discussion practice,TRUE
